annotated,correction,broad,order
breederchicken,breeder_chicken,chicken,galliformes
broiler,chicken,chicken,galliformes
broilerchicken,chicken,chicken,galliformes
brahmachicken,brahma_chicken,chicken,galliformes
ch,chicken,chicken,galliformes
ck,chicken,chicken,galliformes
chicken,chicken,chicken,galliformes
chiken,chicken,chicken,galliformes
chickenl,chicken,chicken,galliformes
fancychicken,chicken,chicken,galliformes
gallusgallus,chicken,chicken,galliformes
gallus_gallus,chicken,chicken,galliformes
hen,chicken,chicken,galliformes
layinghen,chicken,chicken,galliformes
layer,chicken,chicken,galliformes
layerchicken,chicken,chicken,galliformes
rooster,rooster,chicken,galliformes
silkiechicken,silkie_chicken,chicken,galliformes
silkychicken,silkie_chicken,chicken,galliformes
village_chicken,chicken,chicken,galliformes
villagechicken,chicken,chicken,galliformes
waterchicken,common_moorhen,moorhen,neoave
steller's_eider,stellars_eider,duck,anseriformes
anseriformes_sp.,avian,avian,avian
bantam,bantam,fowl,avian
ruddy_shelduck,ruddy_shelduck,duck,anseriformes
white_peckin_duck,pekin_duck,duck,anseriformes
dendrocygna_viduata,white-faced_whistling_duck,duck,anseriformes
anas_querquedula,gargeny,duck,anseriformes
anas_crecca,green-winged_teal,duck,anseriformes
anas_platyrhynchos_var._domesticus,domestic_mallard,duck,anseriformes
mallard(anas_platyrhynchos),mallard,duck,anseriformes
anas_platyrhynchos,mallard,duck,anseriformes
americanblackduck,American_black_duck,duck,anseriformes
anas_acuta,Northern_pintail,duck,anseriformes
anas_carolinensis,green-winged_teal,duck,anseriformes
americangreen_wingedteal,green-winged_teal,duck,anseriformes
anas_americana,American_wigeon,duck,anseriformes
anasplatyrhynchos,mallard,duck,anseriformes
anasplatyrhynchosdomesticus,domestic_duck,duck,anseriformes
anasplatyrhynchosdomestica,domestic_duck,duck,anseriformes
aythyafuligula,tufted_duck,duck,anseriformes
baikalteal,baikal_teal,duck,anseriformes
black_duck,American_black_duck,duck,anseriformes
blackduck,American_black_duck,duck,anseriformes
blacknestedgrebe,black-necked_grebe,duck,anseriformes
breederduck,breeder_duck,duck,anseriformes
broilerduck,broiler_duck,duck,anseriformes
cascadeduck,cascade_duck,duck,anseriformes
common_goldeneye,common_goldeneye,duck,anseriformes
commongoldeneye,common_goldeneye,duck,anseriformes
common_pochard,common_pochard,duck,anseriformes
commonpochard,common_pochard,duck,anseriformes
commonteal,Eurasian_teal,duck,anseriformes
dack,duck,duck,anseriformes
domestic_duck,duck,duck,anseriformes
domesticduck,duck,duck,anseriformes
domestic_green_winged_teal,green-winged_teal,duck,anseriformes
domesticgreen-wingedteal,green-winged_teal,duck,anseriformes
domesticgreen_wingedteal,green-winged_teal,duck,anseriformes
domesticmallardduck,mallard,duck,anseriformes
domesticmallard,mallard,duck,anseriformes
duck,duck,duck,anseriformes
duckbroiler,duck,duck,anseriformes
duck_broiler,duck,duck,anseriformes
gadwall_duck,gadwall,duck,anseriformes
gadwallduck,gadwall,duck,anseriformes
goldeneyeduck,Goldeneye,duck,anseriformes
goosander,goosander,duck,anseriformes
greaterscaup,greater_scaup,duck,anseriformes
europeanteal,Eurasian_teal,duck,anseriformes
eurasianteal,Eurasian_teal,duck,anseriformes
falcatedduck,falcated_duck,duck,anseriformes
indianrunnerduck,indian_runner_duck,duck,anseriformes
mallard,mallard,duck,anseriformes
mallard_duck,mallard,duck,anseriformes
mallardduck,mallard,duck,anseriformes
mandarinduck,Mandarin_duck,duck,anseriformes
mandarin_duck,Mandarin_duck,duck,anseriformes
mergusalbellus,smew,duck,anseriformes
migratoryduck,duck,duck,anseriformes
cairina_moschata,Muscovy_duck,duck,anseriformes
muscovy,Muscovy_duck,duck,anseriformes
muscovyduck,Muscovy_duck,duck,anseriformes
muscovy_duck,Muscovy_duck,duck,anseriformes
northernpintail,Northern_pintail,duck,anseriformes
pekingduck,Peking_duck,duck,anseriformes
pekinduck,American_Pekin_duck,duck,anseriformes
pintail,Northern_pintail,duck,anseriformes
pochard,common_pochard,duck,anseriformes
rbpochard,red-chested_pochard,duck,anseriformes
ringneckedduck,ring-necked_duck,duck,anseriformes
rubbyshelduck,Ruddy_shelduck,duck,anseriformes
ruddy_shelduck,Ruddy_shelduck,duck,anseriformes
ruddyshelduck,Ruddy_shelduck,duck,anseriformes
teal,teal_duck,duck,anseriformes
tufted_duck,Tufted_duck,duck,anseriformes
tuftedduck,Tufted_duck,duck,anseriformes
wild_duck,duck,duck,anseriformes
wildduck,duck,duck,anseriformes
wood_duck,Wood_duck,duck,anseriformes
woodduck,Wood_duck,duck,anseriformes
yellow_billed_duck,yellow-billed_duck,duck,anseriformes
yellowbilledduck,yellow-billed_duck,duck,anseriformes
greyduck,pacific_black_duck,duck,anseriformes
common_shelduck,common_shelduck,duck,anseriformes
anser_fabalis,bean_goose,goose,anseriformes
bar-headed_goose_(anser_indicus),bar-headed_goose,goose,anseriformes
africangoose,african_goose,goose,anseriformes
americanbuffgoose,american_buff_goose,goose,anseriformes
ansercygnoides,swan_goose,goose,anseriformes
anseralbifrons,greater_white-fronted_goose,goose,anseriformes
anseranser,greylag_goose,goose,anseriformes
anseranserdomesticus,domestic_goose,goose,anseriformes
anserbrachyrhynchus,pink-footed_goose,goose,anseriformes
goose,goose,goose,anseriformes
geese,goose,goose,anseriformes
bar_headed_goose,bar-headed_goose,goose,anseriformes
bar_headedgoose,bar-headed_goose,goose,anseriformes
bar-headedgoose,bar-headed_goose,goose,anseriformes
barheadedgoose,bar-headed_goose,goose,anseriformes
barnaclegoose,barnacle_goose,goose,anseriformes
bean_goose,bean_goose,goose,anseriformes
beangoose,bean_goose,goose,anseriformes
black-headedgoose,black-headed_goose,goose,anseriformes
brentgoose,brent_goose,goose,anseriformes
brantaleucopsis,barnacle_goose,goose,anseriformes
brantacanadensis,canada_goose,goose,anseriformes
cacklinggoose,cackling_goose,goose,anseriformes
canada_goose,canada_goose,goose,anseriformes
canadagoose,canada_goose,goose,anseriformes
cygnus_cygnus,whooper_swan,goose,anseriformes
cygnuscygnus,whooper_swan,goose,anseriformes
cignusolor,mute_swan,goose,anseriformes
cygnus_olor,mute_swan,goose,anseriformes
cygnusolor,mute_swan,goose,anseriformes
domesticgoose,goose,goose,anseriformes
embdengoose,embden_goose,goose,anseriformes
greaterwhitefrontedgoose,greater_white-fronted_goose,goose,anseriformes
greygoose,grey_goose,goose,anseriformes
greylaggoose,greylag_goose,goose,anseriformes
graylaggoose,greylag_goose,goose,anseriformes
mute_swan,mute_swan,goose,anseriformes
muteswan,mute_swan,goose,anseriformes
sebastopolgoose,sebastopol_goose,goose,anseriformes
snowgoose,snow_goose,goose,anseriformes
tundraswan,tundra_swan,goose,anseriformes
whitefrontgoose,greater_white-fronted_goose,goose,anseriformes
whitefrontedgoose,greater_white-fronted_goose,goose,anseriformes
whistlingswan,tundra_swan,goose,anseriformes
whooper_swan,whooper_swan,goose,anseriformes
whooperswan,whooper_swan,goose,anseriformes
whoopingswan,whooper_swan,goose,anseriformes
wildgoose,goose,goose,anseriformes
wildgeese,goose,goose,anseriformes
wildswan,swan,swan,anseriformes
bewick's_swan,bewicks_swan,swan,anseriformes
maned_goose,wood_duck,duck,anseriformes
calidris_alpina,dunlin,wader,neoave
bronzeturkey,bronze_turkey,turkey,galliformes
commonpheasant,common_pheasant,pheasant,galliformes
domesticturkey,turkey,turkey,galliformes
domesticturkey,turkey,turkey,galliformes
fowl,fowl,fowl,galliformes
goldenpheasant,golden_pheasant,pheasant,galliformes
greenpeafowl,green_peafowl,peafowl,galliformes
guinea_fowl,guinea_fowl,guinea_fowl,galliformes
guineafowl,guinea_fowl,guinea_fowl,galliformes
juvenileswan,swan,swan,anseriformes
kalijpheasant,kalij_pheasant,pheasant,galliformes
kaljipheasant,kalij_pheasant,pheasant,galliformes
peafowl,peafowl,peafowl,galliformes
pheasant,pheasant,pheasant,galliformes
phasianuscolchicus,common_pheasant,pheasant,galliformes
quail,quail,quail,galliformes
qu,quail,quail,galliformes
swan,swan,swan,anseriformes
silverpheasant,silver_pheasant,pheasant,galliformes
turkey,turkey,turkey,galliformes
wild_waterfowl,waterfowl,waterfowl,anseriformes
whitepeafowl,white_peafowl,peafowl,galliformes
wildfowl,fowl,fowl,galliformes
white-fronted_goose,white-fronted_goose,goose,anseriformes
exotic_brid,exotic_bird,avian,avian
gh,avian,avian,avian
dk,avian,avian,avian
gf,avian,avian,avian
bird,avian,avian,avian
avian,avian,avian,avian
ck,avian,avian,avian
gf,avian,avian,avian
gs,avian,avian,avian
ph,avian,avian,avian
eg,avian,avian,avian
sck,avian,avian,avian
qa,avian,avian,avian
g.h,avian,avian,avian
environment,environment,environment,environmen
aquaticbird,aquatic_bird,aquatic_bird,avian
anas_discors,blue-winged_teal,duck,anseriformes
nightingale,nightingale,passerine,neoave
americanbluewingedteal,american_blue-winged_teal,duck,anseriformes
americancrow,american_crow,passerine,neoave
american_green_winged_teal,American_green-winged_teal,duck,anseriformes
americangreen-wingedteal,American_green-winged_teal,duck,anseriformes
americanpelican,american_pelican,pelican,neoave
american_wigeon,American_wigeon,duck,anseriformes
americanwigeon,American_wigeon,duck,anseriformes
arctictern,arctic_tern,tern,neoave
ardeacinerea,Grey_heron,heron,neoave
ardeacinera,Grey_heron,heron,neoave
babbler,Old_World_babbler,passerine,neoave
baldeagle,bald_eagle,raptor,neoave
barn_swallow,barn_swallow,passerine,neoave
barnswallow,barn_swallow,passerine,neoave
beardedvulture,bearded_vulture,raptor,neoave
black-crownednightheron,Black-crowned_night_heron,heron,neoave
black_crowned_night_heron,Black-crowned_night_heron,heron,neoave
black-headedgull,black-headed_gull,gull,neoave
blackheadedgull,black-headed_gull,gull,neoave
black-neckedgrebe,black-necked_grebe,grebe,neoave
blackneckedgrebe,black-necked_grebe,grebe,neoave
black_swan,black_swan,swan,anseriformes
blackswan,black_swan,swan,anseriformes
blackbird,common_blackbird,passerine,neoave
blackbulbul,black_bulbul,passerine,neoave
blackskimmer,black_skimmer,skimmer,neoave
blackvulture,black_vulture,raptor,neoave
bluemagpie,blue_magpie,magpie,neoave
bluewingedteal,blue-winged_teal,duck,anseriformes
brantgoose,brant_goose,goose,anseriformes
brownheadedgull,brown-headed_gull,gull,neoave
brown-headedgull,brown-headed_gull,gull,neoave
brown-headgull,brown-headed_gull,gull,neoave
brown_headed_gull,brown-headed_gull,gull,neoave
brown_headedgull,brown-headed_gull,gull,neoave
buteobuteo,common_buzzard,raptor,neoave
buzzard,buzzard,raptor,neoave
cattleegret,cattle_egret,heron,neoave
caspiangull,caspian_gull,gull,neoave
columbapalumbus,common_wood_pigeon,pigeon,neoave
