strain	accession	subtype	date	host	country	region	species	broad	order
A/pintail/Alaska/649/2005	EU264575	H3	2005-08-18	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/pintail/Alaska/161/2005	EU264571	H3	2005-08-09	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/pintail/Alaska/256/2005	EU264572	H3	2005-08-11	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/pintail/Alaska/648/2005	EU264574	H3	2005-08-18	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/pintail/Alaska/688/2005	EU264576	H3	2005-08-19	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/Anas_platyrhynchos/Germany/R2619/2007	AM930531	H3	2007-XX-XX	Avian	Germany	Europe	Mallard	duck	Anseriformes
A/Dendrocygna_viduata/Germany/R2484/2007	AM930527	H3N8	2007-XX-XX	Avian	Germany	Europe	White-faced Whistling Duck	duck	Anseriformes
A/Anas_platyrhynchos/Germany/R2322/2007	AM930526	H3N8	2007-XX-XX	Avian	Germany	Europe	Mallard	duck	Anseriformes
A/swine/Korea/GC0407/2005	EU789365	H3N2	2005-XX-XX	Swine	South Korea	Japan Korea	Swine	swine	Swine
A/swine/North_Carolina/CD81015/2015	MW843971	H3N2	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/Oklahoma/00606/2005	CY159723	H3N2	2005-05-04	Swine	Usa	North America	Swine	swine	Swine
A/swine/Nebraska/00386/2004	CY159699	H3N2	2004-08-13	Swine	Usa	North America	Swine	swine	Swine
A/swine/Quebec/DM_24/2017	MK328685	H3N2	2017-05-17	Swine	Canada	North America	Swine	swine	Swine
A/mallard/Sweden/S90391/2005	EU057721	H3N8	2005-XX-XX	Avian	Sweden	Europe	Mallard	duck	Anseriformes
A/ruddy_turnstone/New_Jersey/UGAI17-2629/2017	MH068065	H3N2	2017-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/common_coot/Altai/3/2008	CY100061	H3N8	2008-08-22	Avian	Russia	West Asia	Common Coot	coot	Neoave
A/swine/Iowa/CD81015/2015	MW839759	H3N1	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/equine/Sao_Paulo/IB19/2012	KC620391	H3N8	2012-04-XX	Equine	Brazil	South America	Equine	equine	Equine
A/swine/North_Carolina/CR168215/2015	MW843928	H3N2	2015-08-29	Swine	Usa	North America	Swine	swine	Swine
A/teal/Krasnoiarsk/1581/2008	KF128900	H3N6	2008-09-30	Avian	Russia	West Asia	Teal Duck	duck	Anseriformes
A/teal/Krasnoiarsk/501/2010	KF128899	H3N8	2010-09-15	Avian	Russia	West Asia	Teal Duck	duck	Anseriformes
A/greyduck/Krasnoiarsk/528/2010	KF128898	H3N8	2010-09-15	Avian	Russia	West Asia	Pacific Black Duck	duck	Anseriformes
A/mallard/Krasnoiarsk/453/2010	KF128894	H3N8	2010-09-15	Avian	Russia	West Asia	Mallard	duck	Anseriformes
A/teal/Krasnoiarsk/461/2010	KF128895	H3N8	2010-09-15	Avian	Russia	West Asia	Teal Duck	duck	Anseriformes
A/teal/Krasnoiarsk/464/2010	KF128896	H3N8	2010-09-15	Avian	Russia	West Asia	Teal Duck	duck	Anseriformes
A/teal/Krasnoiarsk/515/2010	KF128897	H3N8	2010-09-15	Avian	Russia	West Asia	Teal Duck	duck	Anseriformes
A/equine/Egypt/VRLCU/2008	JF812270	H3N8	2008-08-XX	Equine	Egypt	Africa	Equine	equine	Equine
A/swine/North_Carolina/SG1199/2004	CY159683	H3N2	2004-12-02	Swine	Usa	North America	Swine	swine	Swine
A/equine/Sao_Paulo/18.FMVZ/2015	KX954164	H3N8	2015-09-21	Equine	Brazil	South America	Equine	equine	Equine
A/Duck/Nanchang/8-197/2000	AY180423	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/8-198/2000	AY180424	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/2-182/2001	AY180421	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/12-280/2000	AY180420	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/1-181/2001	AY180419	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/1-161/2001	AY180418	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/10-383/2000	AY180417	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/10-096/2000	AY180416	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/9-220/2000	AY180415	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Nanchang/3-201/01	AY180413	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/9-385/2000	AY180426	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/9-091/2000	AY180425	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/2-120/2001	AY180410	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/12-301/2000	AY180409	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/12-220/2000	AY180408	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/1-101/2001	AY180407	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/1-100/2001	AY180406	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/1-020/2001	AY180405	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Nanchang/3-120/2001	AY180412	H3N2	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/2-220/2001	AY180411	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/pigeon/Nanchang/8-142/2000	AY180428	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Quail/Nanchang/10-028/2000	AY180430	H3N6	2000-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Quail/Nanchang/3-140/2001	AY180431	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Quail/Nanchang/2-040/2001	AY180433	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
