strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Italy/309/1983	L05254	H3N2	1983-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/635/1987	L05259	H3N2	1987-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/equine/Sao_Paulo/IB19/2012	KC620392	H3N8	2012-04-XX	Equine	Brazil	South America	Equine	equine	Equine
A/Swine/NorthCarolina/16497/99	AF268134	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Colorado/23619/99	AF268133	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Wisconsin/14094/99	AF268132	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18089/99	AF268131	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18717/99	AF268130	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Illinois/21587/99	AF268129	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/equine/Mongolia/1/2008	AB436913	H3N8	2008-01-XX	Equine	Mongolia	West Asia	Equine	equine	Equine
A/Blue-winged_Teal/Texas/AH0040170S.7.A/2015	MN253747	H3N8	2015-XX-XX	Avian	Usa	North America	Blue-winged Teal	duck	Anseriformes
A/swine/Italy/66945/2006	EU091678	H3N1	2006-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/mallard/Russia/635/2008	KM032363	H3N8	2008-09-XX	Avian	Russia	West Asia	Mallard	duck	Anseriformes
A/Mallard/North_Dakota/AH0050148S.7.A/2015	MN253766	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/duck/Beijing/56/05	EU492526	H3N8	2005-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/duck/Beijing/44/04	EU492525	H3N8	2004-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/12-280/2000	AY180480	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/1-101/2001	AY180481	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Quail/Nanchang/3-140/2001	AY180494	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/1-161/2001	AY180482	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
