strain	accession	subtype	date	host	country	region	species	broad	order
A/mallard/Interior_Alaska/7MP1720/2007	CY079926	H3N8	2007-09-03	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Duck/Nanchang/1-161/2001	AY180789	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/1-181/2001	AY180790	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/10-096/2000	AY180791	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/10-383/2000	AY180792	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/12-280/2000	AY180793	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/1-100/2001	AY180788	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/2-182/2001	AY180795	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/1-020/2001	AY180776	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Quail/Nanchang/2-040/2001	AY180807	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Quail/Nanchang/10-028/2000	AY180806	H3N6	2000-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/pigeon/Nanchang/8-142/2000	AY180805	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Pigeon/Nanchang/11-045/2000	AY180804	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Duck/Nanchang/9-385/2000	AY180803	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/9-091/2000	AY180802	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/8-198/2000	AY180801	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/3-140/2001	AY180809	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Chicken/Nanchang/1-101/2001	AY180777	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/9-220/2000	AY180787	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Nanchang/3-201/01	AY180784	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/8-197/2000	AY180800	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/2-120/2001	AY180780	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/2-220/2001	AY180781	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/12-301/2000	AY180779	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/12-220/2000	AY180778	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/equine/Essaouira/3/2004	JQ955613	H3N8	2004-06-15	Equine	Morocco	Africa	Equine	equine	Equine
A/mallard/Sweden/59531/2007	KC342609	H3N4	2007-09-02	Avian	Sweden	Europe	Mallard	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11787R0/2009	CY141443	H3N7	2009-08-19	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/equine/Nador/1/1997	JX182367	H3N8	1997-12-31	Equine	Morocco	Africa	Equine	equine	Equine
A/American_black_duck/Newfoundland/GR256/2011	KC492392	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/mallard/Sweden/4558/2004	KC342593	H3N8	2004-08-25	Avian	Sweden	Europe	Mallard	duck	Anseriformes
A/swine/North_Carolina/CD81015/2015	MW843967	H3N2	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/ruddy_turnstone/New_Jersey/UGAI17-2629/2017	MH068069	H3N2	2017-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
