strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Italy/635/1987	L05272	H3N2	1987-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/309/1983	L05268	H3N2	1983-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/duck/Vietnam/OIE-3022/2011	AB779678	H3N2	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3041/2011	AB719055	H3N8	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3287/2011	AB719910	H3N6	2011-10-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Swine/Italy/25823/94	AF213908	H3N2	1994-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/mallard/Interior_Alaska/7MP1720/2007	CY079927	H3N8	2007-09-03	Avian	Usa	North America	Mallard	duck	Anseriformes
A/duck/Ontario/05/00	GQ249057	H3N2	2000-XX-XX	Avian	Canada	North America	Duck	duck	Anseriformes
A/Swine/Illinois/21587/99	AF268151	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Colorado/23619/99	AF268152	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18717/99	AF268150	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18089/99	AF268149	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Wisconsin/14094/99	AF268148	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/NorthCarolina/16497/99	AF268147	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Duck/Nanchang/2-182/2001	AY180610	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/9-220/2000	AY180631	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/1-101/2001	AY180630	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
