strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Italy/309/1983	L05240	H3N2	1983-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/635/1987	L05474	H3N2	1987-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/North_Carolina/CR168215/2015	MW843933	H3N2	2015-08-29	Swine	Usa	North America	Swine	swine	Swine
A/Chicken/Italy/5945/95	AF213914	H3N2	1995-XX-XX	Avian	Italy	Europe	Chicken	chicken	Galliformes
A/laughing_gull/New_Jersey/UGAI17-2801/2017	MH068111	H3N8	2017-05-22	Avian	Usa	North America	Laughing Gull	gull	Neoave
A/ruddy_turnstone/New_Jersey/UGAI17-2293/2017	MH068037	H3N8	2017-05-16	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/ruddy_turnstone/New_Jersey/UGAI17-2629/2017	MH068073	H3N2	2017-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/duck/Vietnam/OIE-3022/2011	AB779673	H3N2	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3287/2011	AB719905	H3N6	2011-10-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-2577/2011	AB778267	H3N8	2011-09-17	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3041/2011	AB719050	H3N8	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/swine/North_Carolina/CD81015/2015	MW843969	H3N2	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/Oklahoma/00606/2005	CY159730	H3N2	2005-05-04	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18717/99	AF268158	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18089/99	AF268157	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Duck/Nanchang/1-181/2001	AY180707	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/2-220/2001	AY180706	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Quail/Nanchang/3-140/2001	AY180705	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/10-383/2000	AY180703	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/2-182/2001	AY180708	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/2-040/2001	AY180709	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/9-091/2000	AY180711	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/9-385/2000	AY180701	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/1-020/2001	AY180710	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/bantam/Nanchang/9-366/2000	AY180690	H3N3	2000-XX-XX	Avian	China	China	Bantam	fowl	Avian
A/chicken/Nanchang/3-201/01	AY180678	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/pigeon/Nanchang/8-142/2000	AY180655	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Chicken/Nanchang/12-220/2000	AY180654	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/pigeon/Nanchang/9-058/2000	AY180688	H3N3	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
