strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Italy/635/1987	L05231	H3N2	1987-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/309/1983	L05229	H3N2	1983-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/blue-winged_teal/New_Brunswick/00565/2010	CY138021	H3	2010-08-14	Avian	Canada	North America	Blue-winged Teal	duck	Anseriformes
A/ruddy_turnstone/New_Jersey/UGAI17-2629/2017	MH068078	H3N2	2017-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/swine/Iowa/CD81015/2015	MW839754	H3N1	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/duck/Vietnam/OIE-2577/2011	AB778265	H3N8	2011-09-17	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3022/2011	AB779671	H3N2	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3287/2011	AB719903	H3N6	2011-10-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3041/2011	AB719048	H3N8	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Chicken/Italy/5945/95	AF213910	H3N2	1995-XX-XX	Avian	Italy	Europe	Chicken	chicken	Galliformes
A/swine/North_Carolina/CD81015/2015	MW843972	H3N2	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/swine/North_Carolina/CR168215/2015	MW843932	H3N2	2015-08-29	Swine	Usa	North America	Swine	swine	Swine
A/equine/Yokohama/aq19/2009	AB544407	H3N8	2009-05-	Equine	Japan	Japan Korea	Equine	equine	Equine
A/Swine/Italy/25823/94	AF213909	H3N2	1994-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/duck/Ontario/05/00	GQ249056	H3N2	2000-XX-XX	Avian	Canada	North America	Duck	duck	Anseriformes
A/equine/La_Plata/1/1993	AB543710	H3N8	1993-XX-XX	Equine	Argentina	South America	Equine	equine	Equine
A/Swine/Oklahoma/18717/99	AF268168	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/NorthCarolina/16497/99	AF268170	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Illinois/21587/99	AF268169	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Italy/66945/2006	EU091683	H3N1	2006-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/American_black_duck/Newfoundland/GR490/2011	KC492411	H3N2	2011-09-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/MW662/2010	KC492331	H3N6	2010-09-17	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR679/2011	KC492419	H3N2	2011-10-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR252/2011	KC492379	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR256/2011	KC492387	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR396/2011	KC492395	H3N2	2011-09-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/Swine/Colorado/23619/99	AF268166	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18089/99	AF268167	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Wisconsin/14094/99	AF268165	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Quebec/01003/2006	CY160188	H3N2	2006-02-23	Swine	Canada	North America	Swine	swine	Swine
A/equine/Mongolia/1/2008	AB436907	H3N8	2008-01-XX	Equine	Mongolia	West Asia	Equine	equine	Equine
A/chicken/Nanchang/3-120/2001	AY180761	H3N2	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Quail/Nanchang/3-140/2001	AY180771	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/9-091/2000	AY180713	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/12-301/2000	AY180714	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/10-096/2000	AY180718	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/1-020/2001	AY180720	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/10-383/2000	AY180724	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/10-028/2000	AY180725	H3N6	2000-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/pigeon/Nanchang/9-058/2000	AY180726	H3N3	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Duck/Nanchang/9-385/2000	AY180727	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/2-120/2001	AY180729	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/9-220/2000	AY180733	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/8-198/2000	AY180735	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Pigeon/Nanchang/11-045/2000	AY180736	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/bantam/Nanchang/9-366/2000	AY180775	H3N3	2000-XX-XX	Avian	China	China	Bantam	fowl	Avian
A/Duck/Nanchang/8-197/2000	AY180742	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/12-220/2000	AY180745	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/12-280/2000	AY180746	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/1-101/2001	AY180749	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/1-161/2001	AY180750	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/1-181/2001	AY180751	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/2-220/2001	AY180752	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/2-182/2001	AY180754	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/pigeon/Nanchang/8-142/2000	AY180744	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Duck/Nanchang/1-100/2001	AY180756	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/2-040/2001	AY180759	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/chicken/Nanchang/3-201/01	AY180763	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/American_widgeon/Interior_Alaska/7MP1768/2007	CY077213	H3N8	2007-09-05	Avian	Usa	North America	American Wigeon	duck	Anseriformes
A/mallard/New_Brunswick/04392/2007	CY128749	H3N8	2007-09-04	Avian	Canada	North America	Mallard	duck	Anseriformes
A/equine/Sao_Paulo/8.FMVZ/2015	MG002462	H3N8	2015-09-21	Equine	Brazil	South America	Equine	equine	Equine
A/equine/Sao_Paulo/12.FMVZ/2015	MG002464	H3N8	2015-09-21	Equine	Brazil	South America	Equine	equine	Equine
